net,length_um
clknet_4_10_0_clk,156.18µm
net549,156.08µm
cpu_core.id_ex_reg_inst.mem_write_out,155.9µm
_02906_,155.76µm
cpu_core.id_ex_reg_inst.pc_plus4_in\[15\],155.56µm
net890,155.52µm
net541,155.47µm
cpu_core.ex_stage_inst.imm_ex\[11\],155.28µm
net821,155.2µm
cpu_core.if_id_reg_inst.instr_out\[31\],154.76µm
net899,154.72µm
net1191,154.58µm
cpu_core.mem_wb_reg_inst.pc_plus4_out\[18\],154.48µm
net708,154.36µm
net319,154.34µm
net605,153.98µm
_00046_,153.6µm
cpu_core.dmem_funct3\[2\],153.56µm
net680,153.44µm
_02722_,152.52µm
_03336_,152.46µm
net284,152.2µm
net670,152.16µm
net932,152.02µm
net249,151.8µm
_01836_,151.775µm
net303,151.37µm
cpu_core.alu_result_mem\[13\],151.22µm
net624,150.82µm
net553,150.71µm
cpu_core.if_id_reg_inst.instr_out\[28\],150.66µm
_02288_,150.6µm
net676,150.52µm
cpu_core.mem_wb_reg_inst.pc_plus4_out\[28\],150.06µm
net935,149.96µm
net245,149.44µm
_00144_,149.39µm
_02326_,149.34µm
net617,149.3µm
net636,149.18µm
_02905_,149.04µm
_03278_,149.01µm
_02019_,148.94µm
net564,148.92µm
net1218,148.92µm
net567,148.79µm
net941,148.24µm
_01959_,148.18µm
cpu_core.ex_stage_inst.rs1_data_ex\[23\],148.08µm
net201,147.95µm
net938,147.82µm
net637,147.66µm
_04125_,147.58µm
_02044_,147.22µm
net662,147.16µm
net1220,146.91µm
net1016,146.9µm
net1019,146.78µm
_02741_,146.67µm
_02244_,146.64µm
cpu_core.ex_stage_inst.pc_ex\[20\],146.61µm
clknet_4_13_0_clk,146.38µm
net287,146.36µm
net577,146.32µm
net1213,146.32µm
net666,146µm
net884,145.94µm
net887,145.6µm
net546,145.57µm
_02177_,145.32µm
_02134_,145.14µm
net1104,145.02µm
cpu_core.alu_result_mem\[31\],144.885µm
net14,144.71µm
net331,144.7µm
_02060_,144.46µm
net881,144.46µm
_03752_,144.38µm
_02170_,144.3µm
net1130,144.22µm
net595,144.1µm
_02322_,143.94µm
clknet_4_11_0_clk,143.92µm
clknet_4_4_0_clk,143.72µm
_02256_,143.69µm
